E_r LDOS_r
        -1      0.0329318
  -0.98995      0.0329911
 -0.979899      0.0330535
 -0.969849      0.0331191
 -0.959799      0.0331882
 -0.949749      0.0332609
 -0.939698      0.0333374
 -0.929648       0.033418
 -0.919598       0.033503
 -0.909548      0.0335925
 -0.899497      0.0336871
 -0.889447      0.0337869
 -0.879397      0.0338923
 -0.869347      0.0340038
 -0.859296      0.0341217
 -0.849246      0.0342467
 -0.839196      0.0343792
 -0.829146      0.0345199
 -0.819095      0.0346694
 -0.809045      0.0348285
 -0.798995       0.034998
 -0.788945      0.0351789
 -0.778894      0.0353724
 -0.768844      0.0355796
 -0.758794       0.035802
 -0.748744      0.0360411
 -0.738693      0.0362989
 -0.728643      0.0365776
 -0.718593      0.0368796
 -0.708543      0.0372081
 -0.698492      0.0375665
 -0.688442      0.0379592
 -0.678392      0.0383913
 -0.668342      0.0388692
 -0.658291      0.0394006
 -0.648241      0.0399956
 -0.638191      0.0406666
 -0.628141      0.0414301
  -0.61809      0.0423077
  -0.60804      0.0433292
  -0.59799      0.0445362
  -0.58794      0.0459895
 -0.577889      0.0477819
 -0.567839      0.0500639
 -0.557789      0.0530994
 -0.547739      0.0574065
 -0.537688      0.0641923
 -0.527638       0.077271
 -0.517588       0.123408
 -0.507538      0.0188501
 -0.497487      0.0190015
 -0.487437       0.019167
 -0.477387      0.0193485
 -0.467337      0.0195481
 -0.457286      0.0197685
 -0.447236      0.0200131
 -0.437186      0.0202856
 -0.427136       0.020591
 -0.417085      0.0209352
 -0.407035       0.021326
 -0.396985       0.021773
 -0.386935      0.0222892
 -0.376884      0.0228917
 -0.366834      0.0236038
 -0.356784      0.0244586
 -0.346734      0.0255046
 -0.336683      0.0268158
 -0.326633      0.0285121
 -0.316583       0.030804
 -0.306533      0.0341024
 -0.296482      0.0393552
 -0.286432      0.0494871
 -0.276382      0.0831847
 -0.266332    8.13957e-08
 -0.256281    1.58057e-08
 -0.246231    7.57699e-09
 -0.236181    4.75166e-09
 -0.226131    3.39783e-09
  -0.21608    2.62658e-09
  -0.20603    2.13773e-09
  -0.19598     1.8046e-09
  -0.18593    1.56544e-09
 -0.175879     1.3869e-09
 -0.165829    1.24954e-09
 -0.155779    1.14136e-09
 -0.145729    1.05456e-09
 -0.135678    9.83883e-10
 -0.125628    9.25689e-10
 -0.115578    8.77366e-10
 -0.105528    8.37008e-10
-0.0954774      8.032e-10
-0.0854271    7.74871e-10
-0.0753769    7.51205e-10
-0.0653266    7.31571e-10
-0.0552764    7.15486e-10
-0.0452261    7.02575e-10
-0.0351759    6.92554e-10
-0.0251256    6.85211e-10
-0.0150754    6.80395e-10
-0.00502513    6.78011e-10
0.00502513    6.78011e-10
 0.0150754    6.80395e-10
 0.0251256    6.85211e-10
 0.0351759    6.92554e-10
 0.0452261    7.02575e-10
 0.0552764    7.15486e-10
 0.0653266    7.31571e-10
 0.0753769    7.51205e-10
 0.0854271    7.74871e-10
 0.0954774      8.032e-10
  0.105528    8.37008e-10
  0.115578    8.77366e-10
  0.125628    9.25689e-10
  0.135678    9.83883e-10
  0.145729    1.05456e-09
  0.155779    1.14136e-09
  0.165829    1.24954e-09
  0.175879     1.3869e-09
   0.18593    1.56544e-09
   0.19598     1.8046e-09
   0.20603    2.13773e-09
   0.21608    2.62658e-09
  0.226131    3.39783e-09
  0.236181    4.75166e-09
  0.246231    7.57699e-09
  0.256281    1.58057e-08
  0.266332    8.13957e-08
  0.276382      0.0831847
  0.286432      0.0494871
  0.296482      0.0393552
  0.306533      0.0341024
  0.316583       0.030804
  0.326633      0.0285121
  0.336683      0.0268158
  0.346734      0.0255046
  0.356784      0.0244586
  0.366834      0.0236038
  0.376884      0.0228917
  0.386935      0.0222892
  0.396985       0.021773
  0.407035       0.021326
  0.417085      0.0209352
  0.427136       0.020591
  0.437186      0.0202856
  0.447236      0.0200131
  0.457286      0.0197685
  0.467337      0.0195481
  0.477387      0.0193485
  0.487437       0.019167
  0.497487      0.0190015
  0.507538      0.0188501
  0.517588       0.123408
  0.527638       0.077271
  0.537688      0.0641923
  0.547739      0.0574065
  0.557789      0.0530994
  0.567839      0.0500639
  0.577889      0.0477819
   0.58794      0.0459895
   0.59799      0.0445362
   0.60804      0.0433292
   0.61809      0.0423077
  0.628141      0.0414301
  0.638191      0.0406666
  0.648241      0.0399956
  0.658291      0.0394006
  0.668342      0.0388692
  0.678392      0.0383913
  0.688442      0.0379592
  0.698492      0.0375665
  0.708543      0.0372081
  0.718593      0.0368796
  0.728643      0.0365776
  0.738693      0.0362989
  0.748744      0.0360411
  0.758794       0.035802
  0.768844      0.0355796
  0.778894      0.0353724
  0.788945      0.0351789
  0.798995       0.034998
  0.809045      0.0348285
  0.819095      0.0346694
  0.829146      0.0345199
  0.839196      0.0343792
  0.849246      0.0342467
  0.859296      0.0341217
  0.869347      0.0340038
  0.879397      0.0338923
  0.889447      0.0337869
  0.899497      0.0336871
  0.909548      0.0335925
  0.919598       0.033503
  0.929648       0.033418
  0.939698      0.0333374
  0.949749      0.0332609
  0.959799      0.0331882
  0.969849      0.0331191
  0.979899      0.0330535
   0.98995      0.0329911
         1      0.0329318
